site	age	dist	trees_in	dbh_cm	species
DUCK	M	0	12	13.9	beech
DUCK	M	0		34.4	tulip
DUCK	M	0		45.3	roak
DUCK	M	0		9.8	smap
DUCK	M	0		43.9	woak
DUCK	M	5	11	43.9	woak
DUCK	M	5		44.5	smap
DUCK	M	5		51.4	woak
DUCK	M	5		24.5	smap
DUCK	M	5		47.2	beech
DUCK	M	10	12	57	woak
DUCK	M	10		23	beech
DUCK	M	10		22.3	beech
DUCK	M	10		51.4	woak
DUCK	M	10		54.5	roak
DUCK	M	20	15	55	woak
DUCK	M	20		54.5	roak
DUCK	M	20		24.1	maple?
DUCK	M	20		56.5	roak
DUCK	M	20		27.7	beech
DUCK	M	40	15	48.3	shick
DUCK	M	40		46.6	tulip
DUCK	M	40		41.7	woak
DUCK	M	40		27.6	smap
DUCK	M	40		25.2	smap
DUCK	M	60	20	51.2	woak
DUCK	M	60		21	beech
DUCK	M	60		23.4	beech
DUCK	M	60		27.2	woak
DUCK	M	60		54.5	woak
FR	M	0	10	26.6	sass
FR	M	0		54.3	roak
FR	M	0		36	shick
FR	M	0		60.5	roak
FR	M	0		26	sass
FR	M	5	17	60.5	roak
FR	M	5		54.3	roak
FR	M	5		12.5	woak
FR	M	5		46.2	roak
FR	M	5		47.5	coak
FR	M	10	18	11.8	smap
FR	M	10		51.1	coak
FR	M	10		46	roak
FR	M	10		59.5	coak
FR	M	10		64.6	roak
FR	M	20	10	47.9	roak
FR	M	20		54.7	roak
FR	M	20		37.6	roak
FR	M	20		46.5	roak
FR	M	20		59.5	coak
FR	M	40	11	8.5	tulip
FR	M	40		64.3	roak
FR	M	40		37.2	smap
FR	M	40		54.7	?
FR	M	40		33.6	?
FR	M	60	12	10.9	smap
FR	M	60		39.3	hickory
FR	M	60		48	hickory
FR	M	60		42.3	woak
FR	M	60		13.6	?
HQ	M	0	7	31.4	smap
HQ	M	0		14.3	smap
HQ	M	0		25.8	smap
HQ	M	0		19.2	smap
HQ	M	0		34.7	smap
HQ	M	5	11	13.4	smap
HQ	M	5		9.3	smap
HQ	M	5		66	tulip
HQ	M	5		19.2	smap
HQ	M	5		35.7	tulip
HQ	M	10	8	20.8	sass
HQ	M	10		35.7	tulip
HQ	M	10		26.5	persimmon
HQ	M	10		53.5	tulip
HQ	M	10		35.4	tulip
HQ	M	20	11	51.5	tulip
HQ	M	20		55.7	tulip
HQ	M	20		54.5	tulip
HQ	M	20		30.6	wash
HQ	M	20		43.9	wash
HQ	M	40	13	67.2	tulip
HQ	M	40		8.4	smap
HQ	M	40		47	tulip
HQ	M	40		48	tulip
HQ	M	40		9.3	smap
HQ	M	60	12	22.7	beech
HQ	M	60		34	tulip
HQ	M	60		43.6	tulip
HQ	M	60		44	tulip
HQ	M	60		17.9	beech
LD	M	0	7	9	?
LD	M	0		15.1	roak
LD	M	0		51.7	oak
LD	M	0		42	oak
LD	M	0		23.7	roak
LD	M	5	14	64.6	woak
LD	M	5		11.5	roak
LD	M	5		23.3	smap
LD	M	5		42	roak
LD	M	5		25	roak
LD	M	10	16	16.5	roak
LD	M	10		51.4	roak
LD	M	10		18.1	smap
LD	M	10		62.7	coak
LD	M	10		27.2	smap
LD	M	20	16	10.8	smap
LD	M	20		59.7	roak
LD	M	20		29.1	roak
LD	M	20		18.2	smap
LD	M	20		21.7	woak
LD	M	40	17	22.4	smap
LD	M	40		54.2	roak
LD	M	40		36.5	woak
LD	M	40		24.7	woak
LD	M	40		71.5	roak
LD	M	60	13	53.9	roak
LD	M	60		17.9	smap
LD	M	60		61.7	roak
LD	M	60		47	woak
LD	M	60		26.9	woak
SR45	M	0	6	87.9	roak
SR45	M	0		15.1	sass
SR45	M	0		19.8	sass
SR45	M	0		25.7	sass
SR45	M	0		31.1	sass
SR45	M	5	12	9.4	beech
SR45	M	5		13	sass
SR45	M	5		19.8	sass
SR45	M	5		25.7	sass
SR45	M	5		31.1	sass
SR45	M	10	11	22.1	sass
SR45	M	10		15.9	dog
SR45	M	10		27.8	sass
SR45	M	10		14.3	?
SR45	M	10		48.3	tulip
SR45	M	20	10	48.3	tulip
SR45	M	20		22.2	rmap
SR45	M	20		49.4	tulip
SR45	M	20		43.5	tulip
SR45	M	20		52.4	tulip
SR45	M	40	12	63.7	tulip
SR45	M	40		47.1	tulip
SR45	M	40		21.4	rmap
SR45	M	40		14.6	sass
SR45	M	40		20.9	rmap
SR45	M	60	10	14.5	smap
SR45	M	60		5.9	dog
SR45	M	60		64.2	roak
SR45	M	60		42.8	rmap
SR45	M	60		14.8	beech
TC	M	0	12	16.5	coak
TC	M	0		38.6	coak
TC	M	0		50.3	coak
TC	M	0		13.3	rmap
TC	M	0		35.5	roak
TC	M	5	19	16	sass
TC	M	5		9.7	rmap
TC	M	5		52.4	roak
TC	M	5		17.2	sass
TC	M	5		35.5	roak
TC	M	10	20	13.8	rmap
TC	M	10		27.2	roak
TC	M	10		34.9	roak
