distance,site,forest_age,species,native_exotic,seeds_present,seeds_germinated,seeds_predated,comments
0,BB,Y,A,E,9,5,0,
0,BB,Y,D,N,7,0,0,
0,BB,Y,H,E,9,0,0,
0,BB,Y,P,E,8,0,0,
0,BB,Y,R,N,10,1,0,
0,BB,Y,S,N,1,0,0,
5,BB,Y,A,E,4,0,0,
5,BB,Y,D,N,6,0,0,
5,BB,Y,H,E,6,0,0,
5,BB,Y,P,E,5,0,0,
5,BB,Y,R,N,6,0,0,
5,BB,Y,S,N,0,0,0,
10,BB,Y,A,E,2,1,0,
10,BB,Y,D,N,2,0,0,
10,BB,Y,H,E,0,0,0,
10,BB,Y,P,E,1,0,0,
10,BB,Y,R,N,0,0,0,
10,BB,Y,S,N,0,0,0,
20,BB,Y,A,E,4,4,0,
20,BB,Y,D,N,9,0,2,
20,BB,Y,H,E,6,2,0,
20,BB,Y,P,E,7,0,0,
20,BB,Y,R,N,9,0,0,
20,BB,Y,S,N,1,0,0,
40,BB,Y,A,E,2,2,0,
40,BB,Y,D,N,3,0,0,
40,BB,Y,H,E,7,0,0,
40,BB,Y,P,E,3,0,0,
40,BB,Y,R,N,5,0,0,
40,BB,Y,S,N,0,0,0,
60,BB,Y,A,E,6,5,0,
60,BB,Y,D,N,6,3,0,
60,BB,Y,H,E,3,1,0,
60,BB,Y,P,E,4,0,0,
60,BB,Y,R,N,7,0,0,
60,BB,Y,S,N,0,0,0,
0,Cicada,Y,A,E,7,0,0,
0,Cicada,Y,D,N,2,0,1,
0,Cicada,Y,H,E,4,0,0,
0,Cicada,Y,P,E,5,0,0,
0,Cicada,Y,R,N,5,0,0,
0,Cicada,Y,S,N,0,0,0,
5,Cicada,Y,A,E,9,8,0,
5,Cicada,Y,D,N,8,1,0,
5,Cicada,Y,H,E,8,2,0,
5,Cicada,Y,P,E,6,0,0,
5,Cicada,Y,R,N,9,0,0,
5,Cicada,Y,S,N,0,0,0,
10,Cicada,Y,A,E,1,0,0,
10,Cicada,Y,D,N,0,0,0,
10,Cicada,Y,H,E,3,3,0,
10,Cicada,Y,P,E,1,0,0,
10,Cicada,Y,R,N,2,0,0,
10,Cicada,Y,S,N,0,0,0,
20,Cicada,Y,A,E,6,1,0,
20,Cicada,Y,D,N,7,0,0,
20,Cicada,Y,H,E,7,0,0,
20,Cicada,Y,P,E,9,0,0,
20,Cicada,Y,R,N,10,0,0,
20,Cicada,Y,S,N,0,0,0,
40,Cicada,Y,A,E,2,0,0,
40,Cicada,Y,D,N,3,0,2,
40,Cicada,Y,H,E,2,0,0,
40,Cicada,Y,P,E,0,0,0,
40,Cicada,Y,R,N,6,0,0,
40,Cicada,Y,S,N,0,0,0,
60,Cicada,Y,A,E,10,8,0,
60,Cicada,Y,D,N,10,0,0,
60,Cicada,Y,H,E,7,2,0,
60,Cicada,Y,P,E,10,0,0,
60,Cicada,Y,R,N,10,0,0,
60,Cicada,Y,S,N,5,0,0,
0,Dubois,Y,A,E,10,9,0,
0,Dubois,Y,D,N,10,5,0,
0,Dubois,Y,H,E,8,5,0,
0,Dubois,Y,P,E,9,1,0,
0,Dubois,Y,R,N,10,0,0,
0,Dubois,Y,S,N,9,0,0,
5,Dubois,Y,A,E,10,6,0,
5,Dubois,Y,D,N,10,0,0,
5,Dubois,Y,H,E,8,3,0,
5,Dubois,Y,P,E,10,0,0,
5,Dubois,Y,R,N,8,1,0,
5,Dubois,Y,S,N,10,1,0,
10,Dubois,Y,A,E,1,0,0,
10,Dubois,Y,D,N,1,1,0,
10,Dubois,Y,H,E,2,2,0,
10,Dubois,Y,P,E,1,0,0,
10,Dubois,Y,R,N,6,0,0,
10,Dubois,Y,S,N,0,0,0,
20,Dubois,Y,A,E,2,1,0,
20,Dubois,Y,D,N,1,0,0,
20,Dubois,Y,H,E,2,1,0,
20,Dubois,Y,P,E,2,0,0,
20,Dubois,Y,R,N,1,0,0,
20,Dubois,Y,S,N,0,0,0,
40,Dubois,Y,A,E,1,0,0,
40,Dubois,Y,D,N,5,2,0,
40,Dubois,Y,H,E,2,0,0,
40,Dubois,Y,P,E,0,0,0,
40,Dubois,Y,R,N,4,0,0,
40,Dubois,Y,S,N,1,0,0,
60,Dubois,Y,A,E,7,2,0,
60,Dubois,Y,D,N,9,3,0,
60,Dubois,Y,H,E,8,4,0,
60,Dubois,Y,P,E,8,0,0,
60,Dubois,Y,R,N,8,0,0,
60,Dubois,Y,S,N,0,0,0,
0,Duckworth,M,A,E,1,1,0,
0,Duckworth,M,D,N,0,0,0,
0,Duckworth,M,H,E,2,0,0,
0,Duckworth,M,P,E,0,0,0,
0,Duckworth,M,R,N,0,0,0,
0,Duckworth,M,S,N,0,0,0,
5,Duckworth,M,A,E,3,2,0,
5,Duckworth,M,D,N,5,0,0,
5,Duckworth,M,H,E,5,2,0,
5,Duckworth,M,P,E,2,0,0,
5,Duckworth,M,R,N,5,0,0,
5,Duckworth,M,S,N,0,0,0,
10,Duckworth,M,A,E,1,0,0,
10,Duckworth,M,D,N,3,0,1,
10,Duckworth,M,H,E,2,0,0,
10,Duckworth,M,P,E,4,0,0,
10,Duckworth,M,R,N,7,0,0,
10,Duckworth,M,S,N,0,0,0,
20,Duckworth,M,A,E,4,3,0,
20,Duckworth,M,D,N,2,0,1,
20,Duckworth,M,H,E,1,0,0,
20,Duckworth,M,P,E,2,0,0,
20,Duckworth,M,R,N,3,0,0,
20,Duckworth,M,S,N,0,0,0,
40,Duckworth,M,A,E,5,1,0,
40,Duckworth,M,D,N,1,0,0,
40,Duckworth,M,H,E,4,0,0,
40,Duckworth,M,P,E,3,0,0,
40,Duckworth,M,R,N,4,0,0,
40,Duckworth,M,S,N,0,0,0,
60,Duckworth,M,A,E,4,1,0,
60,Duckworth,M,D,N,2,0,0,
60,Duckworth,M,H,E,2,0,0,
60,Duckworth,M,P,E,4,0,0,
60,Duckworth,M,R,N,7,0,0,
60,Duckworth,M,S,N,0,0,0,
0,Dugdale,Y,A,E,2,1,1,
0,Dugdale,Y,D,N,4,1,0,
0,Dugdale,Y,H,E,2,1,0,
0,Dugdale,Y,P,E,0,0,0,
0,Dugdale,Y,R,N,4,0,0,
0,Dugdale,Y,S,N,0,0,0,
5,Dugdale,Y,A,E,8,1,5,
5,Dugdale,Y,D,N,1,0,0,
5,Dugdale,Y,H,E,4,1,0,
5,Dugdale,Y,P,E,1,0,0,
5,Dugdale,Y,R,N,8,0,0,
5,Dugdale,Y,S,N,1,0,1,
10,Dugdale,Y,A,E,2,1,0,
10,Dugdale,Y,D,N,2,0,0,
10,Dugdale,Y,H,E,0,0,0,
10,Dugdale,Y,P,E,4,0,0,
10,Dugdale,Y,R,N,2,0,0,
10,Dugdale,Y,S,N,1,0,1,
20,Dugdale,Y,A,E,2,1,0,
20,Dugdale,Y,D,N,3,1,0,
20,Dugdale,Y,H,E,3,1,0,
20,Dugdale,Y,P,E,7,0,0,
20,Dugdale,Y,R,N,4,0,0,
20,Dugdale,Y,S,N,1,0,1,
40,Dugdale,Y,A,E,4,2,0,
40,Dugdale,Y,D,N,3,1,1,
40,Dugdale,Y,H,E,1,0,0,
40,Dugdale,Y,P,E,1,0,0,
40,Dugdale,Y,R,N,0,0,0,
40,Dugdale,Y,S,N,0,0,0,
60,Dugdale,Y,A,E,1,0,0,
60,Dugdale,Y,D,N,2,0,1,
60,Dugdale,Y,H,E,3,0,0,
60,Dugdale,Y,P,E,1,0,0,
60,Dugdale,Y,R,N,4,0,0,
60,Dugdale,Y,S,N,0,0,0,
0,Forest,M,A,E,10,3,0,
0,Forest,M,D,N,10,2,0,
0,Forest,M,H,E,10,1,0,
0,Forest,M,P,E,10,1,0,
0,Forest,M,R,N,8,0,0,
0,Forest,M,S,N,9,0,0,1 larva
5,Forest,M,A,E,10,10,0,
5,Forest,M,D,N,10,6,0,
5,Forest,M,H,E,8,4,0,
5,Forest,M,P,E,10,4,0,
5,Forest,M,R,N,10,0,0,2 fungus
5,Forest,M,S,N,10,0,0,5 fungus
10,Forest,M,A,E,10,10,0,
10,Forest,M,D,N,10,4,0,
10,Forest,M,H,E,9,4,0,
10,Forest,M,P,E,10,2,0,
10,Forest,M,R,N,7,0,0,3 fungus
10,Forest,M,S,N,10,0,0,
20,Forest,M,A,E,10,3,0,
20,Forest,M,D,N,10,0,0,
20,Forest,M,H,E,10,5,0,
20,Forest,M,P,E,10,0,0,
20,Forest,M,R,N,10,0,0,4 have fungus
20,Forest,M,S,N,10,,0,"3 beetle larva, rest have fungus"
40,Forest,M,A,E,9,9,0,
40,Forest,M,D,N,10,1,0,
40,Forest,M,H,E,9,3,0,
40,Forest,M,P,E,10,0,0,
40,Forest,M,R,N,10,0,0,
40,Forest,M,S,N,10,1,0,
60,Forest,M,A,E,10,9,0,
60,Forest,M,D,N,10,6,0,
60,Forest,M,H,E,6,3,0,
60,Forest,M,P,E,10,3,0,
60,Forest,M,R,N,10,1,0,
60,Forest,M,S,N,10,2,0,
0,Griffy,Y,A,E,0,0,0,
0,Griffy,Y,D,N,2,0,0,
0,Griffy,Y,H,E,0,0,0,
