"num","site","age","distance","species","native_exotic","height2006_cm","survival2004","survival2005","survival2006","herbivory2004","herbivory2005","herbivory_2006","htspri",""
"1","Cicada Hill","young","0","R","n","13","1","1","","1","1","","20.5",""
"2","Cicada Hill","young","0","D","n","4","1","1","","0","0","","16.7",""
"3","Cicada Hill","young","0","R","n","17.5","1","1","","2","2","","39",""
"4","Cicada Hill","young","0","S","n","17.5","1","0","0","4","","","",""
"5","Cicada Hill","young","0","D","n","19.5","1","1","","1","0","","20.9",""
"6","Cicada Hill","young","0","S","n","7.5","1","1","","1","1","","29.8",""
"7","Cicada Hill","young","0","P","e","13.5","1","1","","1","4","","21.3",""
"8","Cicada Hill","young","0","P","e","14","1","1","","1","0","","25.2",""
"9","Cicada Hill","young","0","A","e","6","1","1","","1","0","","21.7",""
"10","Cicada Hill","young","0","A","e","11","1","1","","1","0","","9",""
"11","Cicada Hill","young","0","H","e","6","1","1","","0","1","","35.9",""
"12","Cicada Hill","young","0","H","e","15.5","1","1","","1","3","","36.3",""
"13","Cicada Hill","young","0","D","n","5","1","1","","1","3","","23.1",""
"14","Cicada Hill","young","0","H","e","14.5","1","1","","0","0","","50.3",""
"15","Cicada Hill","young","0","S","n","8","1","1","","1","1","","19.8",""
"16","Cicada Hill","young","0","P","e","12","1","0","0","1","","","",""
"17","Cicada Hill","young","0","A","e","7.5","1","1","","2","2","","37.2",""
"18","Cicada Hill","young","0","A","e","12","1","1","","2","1","","47.4",""
"19","Cicada Hill","young","0","R","n","14","1","1","","1","2","","43.8",""
"20","Cicada Hill","young","0","S","n","5.5","1","1","","1","1","","22.2",""
"21","Cicada Hill","young","0","R","n","19","1","1","","2","2","","41.4",""
"22","Cicada Hill","young","0","P","e","15","1","1","","0","1","","31.1",""
"23","Cicada Hill","young","0","D","n","4","1","1","","1","1","","56.6",""
"24","Cicada Hill","young","0","H","e","12.5","1","1","","1","1","","42.1",""
"25","Cicada Hill","young","5","R","n","14","1","1","","3","1","","32",""
"26","Cicada Hill","young","5","S","n","8","1","1","","1","1","","21.9",""
"27","Cicada Hill","young","5","D","n","9","1","1","","0","2","","33.7",""
