"site","age","distance","ppfd","pct_light"
"DUB","Y","0","93","23.96907216"
"DUB","Y","0","61","15.72164948"
"DUB","Y","0","88","22.68041237"
"DUB","Y","0","185","47.68041237"
"DUB","Y","0","388","100"
"DUB","Y","5","60","15.46391753"
"DUB","Y","5","49","12.62886598"
"DUB","Y","5","89","22.93814433"
"DUB","Y","5","207","53.35051546"
"DUB","Y","5","160","41.2371134"
"DUB","Y","10","58","14.94845361"
"DUB","Y","10","45","11.59793814"
"DUB","Y","10","239","61.59793814"
"DUB","Y","10","48","12.37113402"
"DUB","Y","10","32","8.24742268"
"DUB","Y","20","64","16.49484536"
"DUB","Y","20","105","27.06185567"
"DUB","Y","20","274","70.6185567"
"DUB","Y","20","163","42.01030928"
"DUB","Y","20","203","52.31958763"
"DUB","Y","40","83","21.39175258"
"DUB","Y","40","53","13.65979381"
"DUB","Y","40","158","40.72164948"
"DUB","Y","40","93","23.96907216"
"DUB","Y","40","56","14.43298969"
"DUB","Y","60","13","3.350515464"
"DUB","Y","60","37","9.536082474"
"DUB","Y","60","6","1.546391753"
"DUB","Y","60","6","1.546391753"
"DUB","Y","60","77","19.84536082"
"SR45","M","0","26","4.577464789"
"SR45","M","0","33","5.809859155"
"SR45","M","0","27","4.753521127"
"SR45","M","0","74","13.02816901"
"SR45","M","0","43","7.570422535"
"SR45","M","5","27","4.753521127"
"SR45","M","5","75","13.20422535"
"SR45","M","5","23","4.049295775"
"SR45","M","5","30","5.281690141"
"SR45","M","5","25","4.401408451"
"SR45","M","10","36","6.338028169"
"SR45","M","10","19","3.345070423"
"SR45","M","10","16","2.816901408"
"SR45","M","10","20","3.521126761"
"SR45","M","10","31","5.457746479"
"SR45","M","20","21","3.697183099"
"SR45","M","20","26","4.577464789"
"SR45","M","20","32","5.633802817"
"SR45","M","20","66","11.61971831"
"SR45","M","20","46","8.098591549"
"SR45","M","40","55","9.683098592"
"SR45","M","40","234","41.1971831"
"SR45","M","40","42","7.394366197"
"SR45","M","40","38","6.690140845"
"SR45","M","40","53","9.330985915"
"SR45","M","60","47","8.274647887"
"SR45","M","60","33","5.809859155"
"SR45","M","60","49","8.626760563"
"SR45","M","60","31","5.457746479"
"SR45","M","60","568","100"
"TC","M","0","49","22.58064516"
"TC","M","0","76","35.02304147"
"TC","M","0","217","100"
"TC","M","0","151","69.58525346"
"TC","M","0","140","64.51612903"
"TC","M","5","80","36.86635945"
"TC","M","5","65","29.95391705"
"TC","M","5","82","37.78801843"
"TC","M","5","82","37.78801843"
"TC","M","5","93","42.85714286"
"TC","M","10","78","35.94470046"
