distance,site,age,species,native_exotic,number29,number2,eaten
0,Griffy,Y,A,E,10,4,6
0,Griffy,Y,H,E,10,3,7
0,Griffy,Y,P,E,6,6,4
0,Griffy,Y,D,N,9,9,1
0,Griffy,Y,R,N,10,5,5
0,Griffy,Y,S,N,1,1,9
0,Lilly,M,A,E,0,0,10
0,Lilly,M,H,E,6,5,5
0,Lilly,M,P,E,1,2,8
0,Lilly,M,D,N,1,1,9
0,Lilly,M,R,N,5,5,5
0,Lilly,M,S,N,1,0,10
0,Dubois,Y,A,E,1,0,10
0,Dubois,Y,H,E,2,1,9
0,Dubois,Y,P,E,2,2,8
0,Dubois,Y,D,N,7,7,3
0,Dubois,Y,R,N,2,3,7
0,Dubois,Y,S,N,8,0,10
0,Dugdale,Y,A,E,0,0,10
0,Dugdale,Y,H,E,8,3,7
0,Dugdale,Y,P,E,9,9,1
0,Dugdale,Y,D,N,7,7,3
0,Dugdale,Y,R,N,5,5,5
0,Dugdale,Y,S,N,9,0,10
0,SR45,M,A,E,1,0,10
0,SR45,M,H,E,3,2,8
0,SR45,M,P,E,1,1,9
0,SR45,M,D,N,6,6,4
0,SR45,M,R,N,2,2,8
0,SR45,M,S,N,10,5,5
0,Yellowood,M,A,E,0,0,10
0,Yellowood,M,H,E,10,9,1
0,Yellowood,M,P,E,0,0,10
0,Yellowood,M,D,N,3,2,8
0,Yellowood,M,R,N,3,3,7
0,Yellowood,M,S,N,0,0,10
5,Griffy,Y,A,E,3,2,8
5,Griffy,Y,H,E,7,6,4
5,Griffy,Y,P,E,10,10,0
5,Griffy,Y,D,N,10,10,0
5,Griffy,Y,R,N,10,10,0
5,Griffy,Y,S,N,1,1,9
5,Lilly,M,A,E,0,0,10
5,Lilly,M,H,E,6,6,4
5,Lilly,M,P,E,1,1,9
5,Lilly,M,D,N,0,0,10
5,Lilly,M,R,N,5,4,6
5,Lilly,M,S,N,0,0,10
5,Dubois,Y,A,E,2,1,9
5,Dubois,Y,H,E,4,0,10
5,Dubois,Y,P,E,2,1,9
5,Dubois,Y,D,N,1,1,9
5,Dubois,Y,R,N,9,8,2
5,Dubois,Y,S,N,4,4,6
5,Dugdale,Y,A,E,0,0,10
5,Dugdale,Y,H,E,3,2,8
5,Dugdale,Y,P,E,1,1,9
5,Dugdale,Y,D,N,1,1,9
5,Dugdale,Y,R,N,3,3,7
5,Dugdale,Y,S,N,3,1,9
5,SR45,M,A,E,0,0,10
5,SR45,M,H,E,1,0,10
5,SR45,M,P,E,0,0,10
5,SR45,M,D,N,0,0,10
5,SR45,M,R,N,0,0,10
5,SR45,M,S,N,0,0,10
5,Yellowood,M,A,E,0,0,10
5,Yellowood,M,H,E,0,0,10
5,Yellowood,M,P,E,0,0,10
5,Yellowood,M,D,N,0,0,10
5,Yellowood,M,R,N,3,3,7
5,Yellowood,M,S,N,0,0,10
10,Griffy,Y,A,E,1,1,9
10,Griffy,Y,H,E,7,5,5
10,Griffy,Y,P,E,5,5,5
10,Griffy,Y,D,N,2,2,8
10,Griffy,Y,R,N,6,7,3
10,Griffy,Y,S,N,1,0,10
10,Lilly,M,A,E,0,0,10
10,Lilly,M,H,E,6,6,4
10,Lilly,M,P,E,2,1,9
10,Lilly,M,D,N,5,4,6
10,Lilly,M,R,N,2,2,8
10,Lilly,M,S,N,0,0,10
10,Dubois,Y,A,E,0,0,10
10,Dubois,Y,H,E,7,4,6
10,Dubois,Y,P,E,4,3,7
10,Dubois,Y,D,N,10,10,0
10,Dubois,Y,R,N,10,8,2
10,Dubois,Y,S,N,0,1,9
10,Dugdale,Y,A,E,0,0,10
10,Dugdale,Y,H,E,6,7,3
10,Dugdale,Y,P,E,3,4,6
10,Dugdale,Y,D,N,7,7,3
10,Dugdale,Y,R,N,5,6,4
10,Dugdale,Y,S,N,1,0,10
10,SR45,M,A,E,0,0,10
10,SR45,M,H,E,4,4,6
10,SR45,M,P,E,5,5,5
10,SR45,M,D,N,3,3,7
10,SR45,M,R,N,5,5,5
10,SR45,M,S,N,0,0,10
10,Yellowood,M,A,E,1,1,9
10,Yellowood,M,H,E,6,2,8
10,Yellowood,M,P,E,6,6,4
10,Yellowood,M,D,N,1,1,9
10,Yellowood,M,R,N,0,0,10
10,Yellowood,M,S,N,6,0,10
20,Griffy,Y,A,E,3,2,8
20,Griffy,Y,H,E,7,3,7
20,Griffy,Y,P,E,7,8,2
20,Griffy,Y,D,N,8,8,2
20,Griffy,Y,R,N,10,10,0
20,Griffy,Y,S,N,0,0,10
20,Lilly,M,A,E,0,0,10
20,Lilly,M,H,E,4,2,8
20,Lilly,M,P,E,0,0,10
20,Lilly,M,D,N,0,0,10
20,Lilly,M,R,N,0,0,10
20,Lilly,M,S,N,0,0,10
20,Dubois,Y,A,E,0,0,10
20,Dubois,Y,H,E,10,1,9
20,Dubois,Y,P,E,1,0,10
20,Dubois,Y,D,N,2,2,8
20,Dubois,Y,R,N,3,3,7
20,Dubois,Y,S,N,1,1,9
20,Dugdale,Y,A,E,9,7,3
20,Dugdale,Y,H,E,10,9,1
20,Dugdale,Y,P,E,6,6,4
20,Dugdale,Y,D,N,9,8,2
20,Dugdale,Y,R,N,10,10,0
20,Dugdale,Y,S,N,4,3,7
20,SR45,M,A,E,0,0,10
20,SR45,M,H,E,8,4,6
20,SR45,M,P,E,0,0,10
20,SR45,M,D,N,2,3,7
20,SR45,M,R,N,6,6,4
20,SR45,M,S,N,0,0,10
20,Yellowood,M,A,E,0,0,10
20,Yellowood,M,H,E,5,1,9
20,Yellowood,M,P,E,3,0,10
20,Yellowood,M,D,N,4,4,6
20,Yellowood,M,R,N,6,6,4
20,Yellowood,M,S,N,0,0,10
40,Griffy,Y,A,E,1,0,10
40,Griffy,Y,H,E,1,0,10
40,Griffy,Y,P,E,3,3,7
40,Griffy,Y,D,N,7,7,3
40,Griffy,Y,R,N,9,7,3
40,Griffy,Y,S,N,0,0,10
40,Lilly,M,A,E,0,0,10
40,Lilly,M,H,E,7,2,8
40,Lilly,M,P,E,2,1,9
40,Lilly,M,D,N,5,5,5
40,Lilly,M,R,N,5,4,6
40,Lilly,M,S,N,3,3,7
40,Dubois,Y,A,E,2,1,9
40,Dubois,Y,H,E,7,3,7
40,Dubois,Y,P,E,5,5,5
40,Dubois,Y,D,N,2,2,8
40,Dubois,Y,R,N,8,7,3
40,Dubois,Y,S,N,0,0,10
40,Dugdale,Y,A,E,0,0,10
40,Dugdale,Y,H,E,7,5,5
40,Dugdale,Y,P,E,2,0,10
40,Dugdale,Y,D,N,1,1,9
40,Dugdale,Y,R,N,2,4,6
40,Dugdale,Y,S,N,0,0,10
40,SR45,M,A,E,0,0,10
40,SR45,M,H,E,0,1,9
40,SR45,M,P,E,3,2,8
40,SR45,M,D,N,5,5,5
40,SR45,M,R,N,1,1,9
40,SR45,M,S,N,0,0,10
40,Yellowood,M,A,E,0,0,10
40,Yellowood,M,H,E,5,1,9
40,Yellowood,M,P,E,5,5,5
40,Yellowood,M,D,N,5,5,5
40,Yellowood,M,R,N,5,4,6
40,Yellowood,M,S,N,3,3,7
60,Griffy,Y,A,E,5,3,7
60,Griffy,Y,H,E,8,6,4
60,Griffy,Y,P,E,3,3,7
60,Griffy,Y,D,N,10,9,1
60,Griffy,Y,R,N,7,6,4
60,Griffy,Y,S,N,7,7,3
60,Lilly,M,A,E,2,0,10
60,Lilly,M,H,E,7,0,10
60,Lilly,M,P,E,9,3,7
60,Lilly,M,D,N,1,2,8
60,Lilly,M,R,N,5,1,9
60,Lilly,M,S,N,4,3,7
60,Dubois,Y,A,E,0,0,10
60,Dubois,Y,H,E,0,0,10
60,Dubois,Y,P,E,0,1,9
60,Dubois,Y,D,N,10,9,1
60,Dubois,Y,R,N,3,1,9
60,Dubois,Y,S,N,0,0,10
60,Dugdale,Y,A,E,0,0,10
60,Dugdale,Y,H,E,9,6,4
60,Dugdale,Y,P,E,0,0,10
60,Dugdale,Y,D,N,1,1,9
60,Dugdale,Y,R,N,4,3,7
60,Dugdale,Y,S,N,0,1,9
60,SR45,M,A,E,0,0,10
60,SR45,M,H,E,3,3,7
60,SR45,M,P,E,5,6,4
60,SR45,M,D,N,8,8,2
60,SR45,M,R,N,9,8,2
60,SR45,M,S,N,2,1,9
60,Yellowood,M,A,E,0,0,10
60,Yellowood,M,H,E,9,5,5
60,Yellowood,M,P,E,0,1,9
60,Yellowood,M,D,N,6,6,4
60,Yellowood,M,R,N,3,1,9
60,Yellowood,M,S,N,0,0,10
